"AU_s_11_lemmat" "AU_s_142DVD_lemmat" "AU_s_168_CCSL41Bb_lemmat" "AU_s_178_lemmat" "AU_s_211_lemmat" "AU_s_32A1_lemmat" "AU_s_351_lemmat" "AU_s_393_B_lemmat" "AU_s_42A1_lemmat" "AU_s_50A1_lemmat" "AU_s_58_lemmat" "AU_s_59_lemmat" "AU_s_9_lemmat" "AU_s_96_lemmat" "AU_s_Frangip2_lemmat" "CAE_[AU_s_40]_lemmat" "CAE_AU_s_168_qfr_lemmat" "CAE_AU_s_178_BNFlat12202_lemmat" "CAE_AU_s_211Q_lemmat" "CAE_AU_s_32Q_lemmat" "CAE_AU_s_393_A_lemmat" "CAE_AU_s_42Q2_lemmat" "CAE_AU_s_50Q2_lemmat" "CAE_AU_s_58Q_lemmat" "CAE_AU-s-142Q_lemmat" "CAE_CAE_s_100A_lemmat" "CAE_CAE_s_109_lemmat" "CAE_CAE_s_124_lemmat" "CAE_CAE_s_140_BNFlat12202_lemmat" "CAE_CAE_s_142_lemmat" "CAE_CAE_s_147_lemmat" "CAE_CAE_s_159_lemmat" "CAE_CAE_s_183_BNFlat12202_lemmat" "CAE_CAE_s_185_lemmat" "CAE_CAE_s_210_lemmat" "CAE_CAE_s_231_lemmat" "CAE_CAE_s_35_lemmat" "CAE_CAE_s_63_lemmat"
"sum" 4.7970479704797 4.49816401468788 5.94427244582043 4.02476780185759 4.14312617702448 4.15790703106751 3.77358490566038 4.30232558139535 2.38907849829352 4.575986565911 4.9580472921434 4.56273764258555 4.7896532120523 6.35317658829415 4.16324294713777 4.89795918367347 5.73208722741433 3.82116927779901 4.10783055198973 3.92857142857143 4.51713395638629 2.36220472440945 3.68744512730465 4.90916119056823 4.91126702434998 5.2930056710775 2.98126064735945 3.31447049312854 3.87409200968523 6.45682001614205 5.2801724137931 5.03035559410234 3.71669004207574 4.43740095087163 3.77358490566038 4.51612903225806 3.99619410085633 3.7344398340249
"et" 2.0910209102091 4.06976744186047 3.28173374613003 3.84785493144626 3.7037037037037 3.78416257883672 4.71698113207547 5.46511627906977 3.7542662116041 4.4080604534005 4.53852021357742 3.72623574144487 3.439454235361 4.50225112556278 3.45110928512736 2.61224489795918 3.30218068535826 4.05043943446695 3.65853658536585 3.30357142857143 5.14018691588785 3.54330708661417 4.74100087796313 4.13606494008504 3.87948823772183 4.91493383742911 3.83304940374787 5.3354890864996 3.79338175948345 4.43906376109766 4.20258620689655 4.42324371205551 4.62833099579243 4.04120443740095 4.71698113207547 3.50230414746544 4.18648905803996 4.42600276625173
"qui" 2.7060270602706 2.937576499388 3.15789473684211 3.27288810260946 3.32705586942875 3.27026395701939 1.88679245283019 1.62790697674419 3.24232081911263 2.85474391267842 2.4790236460717 3.49809885931559 2.84252416145537 4.30215107553777 2.02684196110655 1.38775510204082 3.17757009345794 3.20978219335117 3.33761232349166 2.32142857142857 1.71339563862928 3.01837270341207 3.16066725197542 2.43525318902203 3.13660751134957 2.64650283553875 2.47018739352641 2.42522231204527 3.47054075867635 1.85633575464084 3.34051724137931 2.8620988725065 3.08555399719495 3.24881141045959 1.88679245283019 2.67281105990783 1.71265461465271 1.38312586445367
"non" 2.460024600246 2.66217870257038 2.47678018575851 3.53825740822645 2.76208411801632 2.75636533520206 2.35849056603774 3.25581395348837 2.90102389078498 2.43492863140218 2.05949656750572 2.43346007604563 3.32575326890279 2.50125062531266 2.2459600109559 2.20408163265306 2.49221183800623 3.28620557890715 2.63157894736842 1.875 4.3613707165109 2.49343832020997 2.8972783143108 2.04870506378044 2.5588113908378 3.02457466918715 2.12947189097104 0.323362974939369 3.79338175948345 1.93704600484262 2.26293103448276 1.8213356461405 2.945301542777 2.77337559429477 2.35849056603774 2.02764976958525 2.1883920076118 3.3195020746888
"in" 2.7060270602706 1.49938800489596 1.48606811145511 1.81335692171605 4.01757689893283 2.8965195047886 1.9811320754717 1.51162790697674 1.36518771331058 1.67926112510495 2.89855072463768 4.48669201520913 2.33086981239341 2.50125062531266 1.12298000547795 1.14285714285714 1.49532710280374 1.98700802445548 4.04364569961489 4.01785714285714 1.4018691588785 1.31233595800525 1.49253731343284 3.09238500193274 1.81593066446554 3.21361058601134 2.38500851788756 3.31447049312854 2.25988700564972 2.50201775625504 4.52586206896552 1.73460537727667 1.68302945301543 3.40729001584786 1.9811320754717 1.10599078341014 1.04662226450999 1.38312586445367
"dico" 1.7220172201722 1.77478580171359 2.60061919504644 2.03449800973021 2.9504080351538 1.56505489371642 0.849056603773585 2.09302325581395 3.07167235494881 1.46935348446683 2.05949656750572 1.06463878326996 1.57760090960773 1.10055027513757 2.21857025472473 2.69387755102041 2.61682242990654 1.83416125334352 2.88831835686778 0.982142857142857 1.55763239875389 2.6246719160105 0.9657594381036 2.0873598763046 1.56830375567478 0.850661625708885 0.851788756388416 1.61681487469685 1.37207425343019 1.61420500403551 0.754310344827586 0.780572419774501 2.17391304347826 3.40729001584786 0.849056603773585 1.47465437788018 2.56898192197907 3.18118948824343
"ille" 2.7060270602706 0.76499388004896 1.42414860681115 1.41530296329058 2.13433772755807 2.00887643074048 0.377358490566038 0.697674418604651 1.19453924914676 0.587741393786734 1.1441647597254 1.29277566539924 1.43547470153496 1.35067533766883 1.75294439879485 1.87755102040816 1.43302180685358 1.49025601834161 2.24646983311938 1.96428571428571 0.623052959501558 1.0498687664042 0.702370500438982 1.19829918824894 0.866694180767643 0.189035916824197 1.61839863713799 1.21261115602264 1.61420500403551 2.58272800645682 1.29310344827586 1.8213356461405 1.40252454417952 1.82250396196513 0.377358490566038 1.65898617511521 0.666032350142721 1.38312586445367
"tu" 0.3690036900369 1.31578947368421 1.54798761609907 1.63644405130473 2.07156308851224 0.911002102312544 2.45283018867925 2.55813953488372 6.31399317406143 0.0419815281276238 0.7627765064836 0.836501901140684 1.96134167140421 0.400200100050025 2.13640098603122 2.85714285714286 1.55763239875389 1.29919755445166 2.1181001283697 0.0892857142857143 2.33644859813084 4.7244094488189 0.0877963125548727 0.773096250483185 1.1143210895584 0.0945179584120983 0.596252129471891 0.0808407437348424 1.93704600484262 0.161420500403551 0.323275862068966 0.780572419774501 0.701262272089762 1.58478605388273 2.45283018867925 1.47465437788018 0.666032350142721 2.76625172890733
"deus" 2.5830258302583 0.550795593635251 2.41486068111455 1.37107474568775 0.816070307595731 1.49497780892315 3.11320754716981 1.74418604651163 1.5358361774744 0.671704450041982 1.02974828375286 1.36882129277567 1.69130187606595 1.15057528764382 1.06820049301561 1.14285714285714 2.42990654205607 1.26098586167367 0.898587933247754 0.714285714285714 1.4018691588785 1.5748031496063 0.9657594381036 1.00502512562814 0.577796120511762 1.51228733459357 1.27768313458262 0.565885206143896 1.85633575464084 0.645682001614205 1.29310344827586 1.21422376409367 0.701262272089762 1.10935023771791 3.11320754716981 0.0921658986175115 1.23691722169363 1.93637621023513
"si" 0.2460024600246 0.94859241126071 0.681114551083591 1.76912870411322 1.69491525423729 0.72412987619715 1.32075471698113 2.2093023255814 0.511945392491468 1.17548278757347 0.7627765064836 0.456273764258555 1.17964752700398 0.80040020010005 1.56121610517666 1.79591836734694 0.685358255451713 1.68131448223156 1.73299101412067 0.446428571428571 2.64797507788162 0.656167979002625 1.31694468832309 0.773096250483185 0.866694180767643 0.56710775047259 1.10732538330494 0.242522231204527 1.93704600484262 0.242130750605327 0.431034482758621 1.47441457068517 1.40252454417952 1.50554675118859 1.32075471698113 1.19815668202765 1.14176974310181 2.35131396957123
